time_stamp, lat, lon, pitch, roll, heading, serial_number, cam_position
1.642760125984702826e+09,4.572523345133701866e+01,5.088569770542383353e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.481520103931427457e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760125985073090e+09,4.572523340813954462e+01,5.088569776096344199e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648150751495361419e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760126184707403e+09,4.572521042531529645e+01,5.088572462765375448e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.478598803758620761e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760126185077667e+09,4.572521038273493588e+01,5.088572467702229929e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.647859399032593046e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760126385082006e+09,4.572518738223592294e+01,5.088575134426752911e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.647599393391609510e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760126384711981e+09,4.572518742478887077e+01,5.088575129493077220e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.475998744249343986e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760126584716558e+09,4.572516442426244510e+01,5.088577796220778993e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.473398684740067210e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760126585086584e+09,4.572516438170949726e+01,5.088577801154454683e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.647339387440681548e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760126785091639e+09,4.572514138112823190e+01,5.088580467888514036e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.647079380869865872e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760126784721375e+09,4.572514142370859958e+01,5.088580462951660444e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.470798622131349020e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760126984725475e+09,4.572511842323700648e+01,5.088583129673003747e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.468198568820955074e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760126985095739e+09,4.572511838065663881e+01,5.088583134609858227e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.646819375538826193e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760127184730768e+09,4.572509511474370925e+01,5.088586104294856582e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.471140423059463842e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760127185100555e+09,4.572509507160186359e+01,5.088586109841664928e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.647114670944213799e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760127384749174e+09,4.572507177926301836e+01,5.088589104570945487e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.474540735960007964e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760127385105133e+09,4.572507173773447420e+01,5.088589109910329533e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.647454678726196562e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760127584739447e+09,4.572504844706455884e+01,5.088592104425033291e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.477940570592880931e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760127585109711e+09,4.572504840386708480e+01,5.088592109978994138e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.647794686508178756e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760127784744501e+09,4.572502511314153395e+01,5.088595104500850397e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.481340656518935361e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760127785114765e+09,4.572502506994406701e+01,5.088595110054811244e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648134695100784484e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760127984748840e+09,4.572500177930196230e+01,5.088598104565938307e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.484740730285645327e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760127985118628e+09,4.572500173616012376e+01,5.088598110112746653e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648474701666831947e+02,2.101994900000000000e+07,4.000000000000000000e+00
1.642760128184753656e+09,4.572497890729089676e+01,5.088600950676799073e+00,3.470000000000000000e+02,0.000000000000000000e+00,8.484260985374450570e+01,2.101995000000000000e+07,1.000000000000000000e+00
1.642760128185123682e+09,4.572497886504630316e+01,5.088600955918828994e+00,3.470000000000000000e+02,0.000000000000000000e+00,2.648425950527191048e+02,2.101994900000000000e+07,4.000000000000000000e+00
